__record_tag_AMPP,APID,APPID,COMBPACKCD,DISCCD,DISCDT,INVALID_AMPP,LEGAL_CATCD,NM_AMPP,SUBP,VPPID,__record_tag_AMP,ABBREVNM,AVAIL_RESTRICTCD,COMBPRODCD,DESC,EMA,FLAVOURCD,INVALID_AMP,LIC_AUTHCD,LIC_AUTHCHANGECD,LIC_AUTHCHANGEDT,LIC_AUTH_PREVCD,NM_AMP,NMDT,NM_PREV,PARALLEL_IMPORT,SUPPCD,VPID,__record_tag,INVALID,NM,QTYVAL,QTY_UOMCD,__record_tag_VMP,ABBREVNM_VMP,BASISCD,BASIS_PREVCD,CFC_F,COMBPRODCD_VMP,DF_INDCD,GLU_F,INVALID_VMP,NM_VMP,NMCHANGECD,NMDT_VMP,NMPREV,NON_AVAILCD,NON_AVAILDT,PRES_F,PRES_STATCD,SUG_F,UDFS,UDFS_UOMCD,UNIT_DOSE_UOMCD,VPIDDT,VPIDPREV,VTMID,__record_tag_VTM,ABBREVNM_VTM,INVALID_VTM,NM_VTM,VTMIDDT,VTMIDPREV,AGGREGATED_INGREDIENTS,AGGREGATED_ROUTES,DOSE_FORM,SUPPLIER_NAME
AMPP,27613111000001100,27613211000001106,,,,,4,Juzo Dynamic Cotton class 2 (23-32mmHg) below knee open toe with silicone top band lymphoedema garment standard size III Sesame (Juzo UK Ltd) 2 device,,33002411000001101,AMP,,1,,Juzo Dynamic Cotton class 2 (23-32mmHg) below knee open toe with silicone top band lymphoedema garment standard size III Sesame (Juzo UK Ltd),,,,2,,,,Juzo Dynamic Cotton class 2 (23-32mmHg) below knee open toe with silicone top band lymphoedema garment standard size III,,,,11473311000001109,33502311000001106,VMPP,,Lymphoedema garments below knee open toe with silicone top/band/border 2 device,2.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments below knee open toe with silicone top/band/border,,,,,,,4,,,,,,,,,,,,,,,,,Juzo UK Ltd
AMPP,19649111000001104,19649211000001105,,,,,4,Sigvaris Advance 2 medium compression (20-25mmHg) armsleeve with grip top lymphoedema garment normal medium plus size Black (Sigvaris Britain Ltd) 1 device,,33000011000001106,AMP,,1,,Sigvaris Advance 2 medium compression (20-25mmHg) armsleeve with grip top lymphoedema garment normal medium plus size Black (Sigvaris Britain Ltd),,,,2,,,,Sigvaris Advance 2 medium compression (20-25mmHg) armsleeve with grip top lymphoedema garment normal medium plus size,2012-05-01,Sigvaris Advance 2 medium compression (20-25mmHg) armsleeve with grip top lymphoedema garment normal medium plus,,10143211000001106,33501211000001105,VMPP,,Lymphoedema garments armsleeve with top/band/border 1 device,1.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments armsleeve with top/band/border,,,,,,,4,,,,,,,,,,,,,,,,,Sigvaris Britain Ltd
AMPP,19781911000001100,19782111000001108,,,,,4,Greenlan lancets 0.35mm/28gauge (Neon Diagnostics Ltd) 200 lancet,,14579711000001107,AMP,,1,,Greenlan lancets 0.35mm/28gauge (Neon Diagnostics Ltd),,,,2,,,,Greenlan lancets 0.35mm/28gauge,,,,19566211000001100,14607111000001104,VMPP,,Lancets sterile single use 0.35mm/28gauge 200 lancet,200.0,3317611000001102.0,VMP,,7,7.0,,,3,,,Lancets sterile single use 0.35mm/28gauge,4.0,2011-12-05,Lancets sterile single use 0.35mm/28 gauge,,,,4,,,,,,,,,,,,,,,,,Neon Diagnostics Ltd
AMPP,25978811000001105,25979011000001109,,1.0,2018-06-01,,4,Haddenham Veni class 1 (18-21mmHg) tights closed toe lymphoedema garment regular size VII Grey (Haddenham Healthcare Ltd) 1 device,,33018911000001105,AMP,,9,,Haddenham Veni class 1 (18-21mmHg) tights closed toe lymphoedema garment regular size VII Grey (Haddenham Healthcare Ltd),,,,2,,,,Haddenham Veni class 1 (18-21mmHg) tights closed toe lymphoedema garment regular size VII,,,,14063811000001106,33508511000001103,VMPP,,Lymphoedema garments tights/panty closed toe 1 device,1.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments tights/panty closed toe,,,,,,,4,,,,,,,,,,,,,,,,,Haddenham Healthcare Ltd
AMPP,39768411000001102,39768511000001103,,,,,4,SpiritCare hydrophilic catheter male 18Ch SH-CC028 (Spirit Healthcare Ltd) 30 catheter,,7201811000001105,AMP,,1,,SpiritCare hydrophilic catheter male 18Ch SH-CC028 (Spirit Healthcare Ltd),,,,2,,,,SpiritCare hydrophilic catheter male 18Ch,,,,15615111000001101,7290511000001102,VMPP,,Nelaton catheter male 18Ch 30 catheter,30.0,3319911000001101.0,VMP,,7,2.0,,,3,,,Nelaton catheter male 18Ch,4.0,2004-10-29,Nelaton catheter male 18Ch,,,,4,,,,,,,,,,,,,,,,,Spirit Healthcare Ltd
AMPP,30376511000001106,30376611000001105,,,,,4,Sigvaris Essential Thermoregulating class 1 (18-21mmHg) thigh length open toe with waist attachment lymphoedema garment short XX small right Nature (Sigvaris Britain Ltd) 1 device,,33018711000001108,AMP,,1,,Sigvaris Essential Thermoregulating class 1 (18-21mmHg) thigh length open toe with waist attachment lymphoedema garment short XX small right Nature (Sigvaris Britain Ltd),,,,2,,,,Sigvaris Essential Thermoregulating class 1 (18-21mmHg) thigh length open toe with waist attachment lymphoedema garment short XX small right,2020-01-01,Sigvaris Cotton class 1 (18-21mmHg) thigh length open toe with waist attachment lymphoedema garment short XX small right,,10143211000001106,33508411000001102,VMPP,,Lymphoedema garments thigh length open toe with waist/hip attachment 1 device,1.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments thigh length open toe with waist/hip attachment,,,,,,,4,,,,,,,,,,,,,,,,,Sigvaris Britain Ltd
AMPP,6407511000001104,6408111000001109,,1.0,2006-08-01,,4,Freedom Folatex latex catheter male 14Ch 41-515-26 10ml balloon (Mentor Medical Ltd) 1 catheter,,6402211000001100,AMP,,9,,Freedom Folatex latex catheter male 14Ch 41-515-26 10ml balloon (Mentor Medical Ltd),,,,2,,,,Freedom Folatex latex catheter male 14Ch,2004-12-01,Eschmann Folatex latex catheter male 14Ch,,3758201000001107,7286911000001106,VMPP,,Foley catheter male 14Ch 1 catheter,1.0,3319911000001101.0,VMP,,7,,,,3,,,Foley catheter male 14Ch,,,,,,,4,,,,,,,,,,,,,,,,,Mentor Medical Ltd
AMPP,9399711000001104,9399811000001107,,,,,3,Prednisolone sodium phosphate 0.005% eye drops (Special Order) 1 ml,,9399611000001108,AMP,,6,,Prednisolone sodium phosphate 0.005% eye drops (Special Order),,,,0,,,,Prednisolone sodium phosphate 0.005% eye drops,,,,8286711000001104,9407111000001102,VMPP,,Prednisolone sodium phosphate 0.005% eye drops 1 ml,1.0,258773002.0,VMP,,4,,,,2,,,Prednisolone sodium phosphate 0.005% eye drops,,,,,,,1,,,,,,,777309005.0,VTM,,,Prednisolone,2023-02-06,52388000.0,Prednisolone sodium phosphate 50.0 nan,Ocular,Eye drops,Special Order
AMPP,14382511000001104,14383211000001108,,,,,4,Haddenham Veni class 3 (34-46mmHg) below knee open toe lymphoedema garment regular size I Beige (Haddenham Healthcare Ltd) 2 device,,33002211000001100,AMP,,1,,Haddenham Veni class 3 (34-46mmHg) below knee open toe lymphoedema garment regular size I Beige (Haddenham Healthcare Ltd),,,,2,,,,Haddenham Veni class 3 (34-46mmHg) below knee open toe lymphoedema garment regular size I,,,,14063811000001106,33502211000001103,VMPP,,Lymphoedema garments below knee open toe 2 device,2.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments below knee open toe,,,,,,,4,,,,,,,,,,,,,,,,,Haddenham Healthcare Ltd
AMPP,8555611000001100,8555811000001101,,,,,3,Ketamine 5mg/5ml oral solution (Special Order) 1 ml,,8555411000001103,AMP,,6,,Ketamine 5mg/5ml oral solution (Special Order),,,,0,,,,Ketamine 5mg/5ml oral solution,,,,8286711000001104,8579611000001100,VMPP,,Ketamine 5mg/5ml oral solution 1 ml,1.0,258773002.0,VMP,,1,,,,2,,,Ketamine 5mg/5ml oral solution,,,,,,,1,,,,,,,776446001.0,VTM,,,Ketamine,2023-02-06,333847008.0,Ketamine hydrochloride 1.0 nan,Oral,Oral solution,Special Order
